product_id,product_name,category,subcategory,standard_cost,list_price
P105,Livro de Administração 05,Livros,Ficção,99.41,155.76
P106,Livro Infantil 06,Livros,Não ficção,134.39,209.59
P107,Livro de Finanças 07,Livros,Educação,143.59,227.07
P108,Livro de Desenvolvimento 08,Livros,Infantil,20.01,43.42
P109,Livro de Ficção 09,Livros,Ficção,112.24,171.08
P110,Livro Educacional 10,Livros,Não ficção,27.71,53.27
P111,Romance 11,Livros,Educação,31.76,42.6
P112,Livro de Negócios 12,Livros,Infantil,37.67,62.06
P113,Livro de História 13,Livros,Ficção,80.21,111.73
P114,Livro de Tecnologia 14,Livros,Não ficção,62.0,134.6
P115,Livro de Administração 15,Livros,Educação,52.69,91.72
P116,Livro Infantil 16,Livros,Infantil,50.53,102.68
P117,Livro de Finanças 17,Livros,Ficção,93.52,128.29
P118,Livro de Desenvolvimento 18,Livros,Não ficção,48.67,78.41
P119,Livro de Ficção 19,Livros,Educação,78.37,144.32
P120,Livro Educacional 20,Livros,Infantil,89.64,145.8
